code,name,price
00985,中譽集團,0.025
00986,中國環保能源,0.0
00987,中國再生能源投資,0.14400000000000002
00988,絲路物流控股,0.017
00989,廣澤國際發展,0.06
00990,榮暉國際,0.08900000000000001
00991,大唐發電s,1.03
00992,聯想集團s,4.37
00993,華融金控,0.0
00994,中天宏信,0.7
00995,安徽皖通高速公路s,3.71
00996,嘉年華國際,0.01
00997,普匯中金國際,0.67
00998,中信銀行s,3.62
00999,I.Ts,1.32
01000,北青傳媒,0.85
01001,滬港聯合,0.325
01002,威鋮國際,0.11699999999999999
01003,歡喜傳媒s,1.38
01004,中國智慧能源,0.0
01005,美力時集團,0.0
01006,長壽花食品,2.53
01007,龍輝國際控股,0.01
01008,貴聯控股,0.66
01009,國際娛樂,0.0
01010,太睿國際控股,0.45
01011,泰凌醫藥,0.0
01013,偉俊集團控股,0.0
01019,康宏環球,0.0
01020,賽伯樂國際控股,0.134
01022,飛魚科技國際,0.0
01023,時代集團控股,0.5
01025,嘉藝控股,0.27
01026,環球實業科技,0.0
01027,中國集成控股,0.024
01028,千百度,0.14
01029,鐵江現貨,0.073
01030,新城發展控股s,6.8
01031,金利豐金融s,0.67
01033,中石化油服s,0.58
01034,富匯建築控股,0.0
01035,ＢＢＩ生命科學,3.37
01036,萬科海外,0.0
01037,雲智匯科技,0.0
01038,長江基建集團s,46.2
01039,鑫網易商集團,0.44
01041,林達控股,0.10300000000000001
01043,光宇國際集團科技,0.65
01044,恒安國際s,66.95
01045,亞太衛星s,2.54
01046,寰宇娛樂文化,0.20800000000000002
01047,毅興行,0.0
01049,時富投資,0.0
01050,嘉利國際,1.02
01051,國際資源,0.044000000000000004
01052,越秀交通基建s,4.67
01053,重慶鋼鐵股份,0.74
01055,中國南方航空股份s,3.73
01057,浙江世寶,0.76
01058,粵海制革,0.32
01059,看通集團,0.0
01060,阿里巴巴影業s,0.95
01061,億勝生物科技s,4.85
01062,國開國際投資,0.121
01063,新確科技（新）,0.055
01064,中華國際,0.0
01065,天津創業環保股份,2.35
01066,威高股份s,12.6
01068,雨潤食品s,0.62
